f_THz,mode,abs_G,kz,propagating,side,Re_S,Im_S,power
10.912,1,0,0.2286986088,1,refl,-0.2113415612,0.4064059929,0.2098310865
10.936,1,0,0.2292016116,1,trans,0.7855370412,0.3971535496,0.774799385
10.936,1,0,0.2292016116,1,refl,-0.2126929226,0.4073151929,0.2111439457
10.96,1,0,0.2297046144,1,trans,0.7841728034,0.398050118,0.7733708821
10.96,1,0,0.2297046144,1,refl,-0.2140520391,0.4082236124,0.2124647932
10.984,1,0,0.2302076172,1,trans,0.7828009853,0.3989444176,0.7719340309
10.984,1,0,0.2302076172,1,refl,-0.2154189867,0.4091312345,0.2137937068
11.008,1,0,0.23071062,1,trans,0.7814215238,0.3998364172,0.7704887584
11.008,1,0,0.23071062,1,refl,-0.216793841,0.410038036,0.2151307605
11.032,1,0,0.2312136228,1,trans,0.7800343548,0.4007260881,0.7690349924
11.032,1,0,0.2312136228,1,refl,-0.2181766771,0.4109439881,0.2164760238
11.056,1,0,0.2317166256,1,trans,0.7786394135,0.401613403,0.7675726617
11.056,1,0,0.2317166256,1,refl,-0.2195675695,0.4118490561,0.2178295625
11.08,1,0,0.2322196284,1,trans,0.7772366344,0.4024983364,0.7661016966
11.08,1,0,0.2322196284,1,refl,-0.2209665917,0.4127532,0.2191914387
11.104,1,0,0.2327226312,1,trans,0.7758259515,0.403380864,0.7646220284
11.104,1,0,0.2327226312,1,refl,-0.2223738162,0.4136563746,0.2205617104
11.128,1,0,0.233225634,1,trans,0.7744072982,0.4042609627,0.7631335896
11.128,1,0,0.233225634,1,refl,-0.2237893147,0.4145585299,0.2219404321
11.152,1,0,0.2337286368,1,trans,0.772980608,0.4051386104,0.761636314
11.152,1,0,0.2337286368,1,refl,-0.2252131575,0.415459611,0.2233276547
11.176,1,0,0.2342316397,1,trans,0.7715458138,0.4060137854,0.7601301368
11.176,1,0,0.2342316397,1,refl,-0.2266454137,0.4163595585,0.2247234256
11.2,1,0,0.2347346425,1,trans,0.7701028488,0.4068864666,0.7586149944
11.2,1,0,0.2347346425,1,refl,-0.2280861512,0.417258309,0.2261277888
11.224,1,0,0.2352376453,1,trans,0.7686516459,0.4077566331,0.7570908246
11.224,1,0,0.2352376453,1,refl,-0.2295354363,0.4181557947,0.2275407852
11.248,1,0,0.2357406481,1,trans,0.7671921384,0.4086242643,0.7555575666
11.248,1,0,0.2357406481,1,refl,-0.2309933339,0.4190519444,0.2289624524
11.272,1,0,0.2362436509,1,trans,0.7657242598,0.4094893391,0.7540151609
11.272,1,0,0.2362436509,1,refl,-0.2324599073,0.4199466833,0.2303928253
11.296,1,0,0.2367466537,1,trans,0.7642479437,0.4103518367,0.7524635493
11.296,1,0,0.2367466537,1,refl,-0.2339352184,0.420839933,0.2318319356
11.32,1,0,0.2372496565,1,trans,0.7627631244,0.4112117353,0.7509026751
11.32,1,0,0.2372496565,1,refl,-0.2354193274,0.4217316123,0.2332798126
11.344,1,0,0.2377526593,1,trans,0.7612697363,0.412069013,0.7493324829
11.344,1,0,0.2377526593,1,refl,-0.2369122928,0.4226216371,0.2347364826
11.368,1,0,0.2382556621,1,trans,0.7597677148,0.4129236468,0.7477529186
11.368,1,0,0.2382556621,1,refl,-0.2384141716,0.4235099206,0.23620197
11.392,1,0,0.2387586649,1,trans,0.7582569955,0.4137756133,0.7461639294
11.392,1,0,0.2387586649,1,refl,-0.2399250189,0.4243963735,0.2376762966
11.416,1,0,0.2392616677,1,trans,0.7567375148,0.4146248878,0.7445654639
11.416,1,0,0.2392616677,1,refl,-0.2414448883,0.4252809046,0.2391594819
11.44,1,0,0.2397646705,1,trans,0.7552092099,0.4154714447,0.7429574721
11.44,1,0,0.2397646705,1,refl,-0.2429738317,0.4261634204,0.2406515438
11.464,1,0,0.2402676733,1,trans,0.7536720186,0.4163152571,0.7413399049
11.464,1,0,0.2402676733,1,refl,-0.2445118994,0.4270438257,0.242152498
11.488,1,0,0.2407706761,1,trans,0.7521258795,0.417156297,0.7397127148
11.488,1,0,0.2407706761,1,refl,-0.24605914,0.4279220238,0.2436623588
11.512,1,0,0.2412736789,1,trans,0.7505707323,0.4179945348,0.7380758553
11.512,1,0,0.2412736789,1,refl,-0.2476156004,0.4287979165,0.2451811387
11.536,1,0,0.2417766817,1,trans,0.7490065171,0.4188299396,0.736429281
11.536,1,0,0.2417766817,1,refl,-0.2491813262,0.4296714045,0.2467088491
11.56,1,0,0.2422796845,1,trans,0.7474331752,0.419662479,0.7347729477
11.56,1,0,0.2422796845,1,refl,-0.2507563612,0.4305423874,0.2482455
11.584,1,0,0.2427826873,1,trans,0.7458506488,0.4204921188,0.7331068124
11.584,1,0,0.2427826873,1,refl,-0.252340748,0.431410764,0.2497911004
11.608,1,0,0.2432856901,1,trans,0.7442588809,0.4213188234,0.7314308328
11.608,1,0,0.2432856901,1,refl,-0.2539345274,0.4322764324,0.2513456582
11.632,1,0,0.243788693,1,trans,0.7426578153,0.4221425554,0.7297449677
11.632,1,0,0.243788693,1,refl,-0.2555377391,0.4331392903,0.2529091809
11.656,1,0,0.2442916958,1,trans,0.7410473971,0.4229632754,0.728049177
11.656,1,0,0.2442916958,1,refl,-0.2571504214,0.4339992348,0.2544816751
11.68,1,0,0.2447946986,1,trans,0.7394275719,0.4237809424,0.7263434212
11.68,1,0,0.2447946986,1,refl,-0.2587726116,0.4348561631,0.2560631471
11.704,1,0,0.2452977014,1,trans,0.7377982864,0.4245955136,0.7246276616
11.704,1,0,0.2452977014,1,refl,-0.2604043454,0.4357099722,0.2576536029
11.728,1,0,0.2458007042,1,trans,0.7361594883,0.4254069441,0.7229018603
11.728,1,0,0.2458007042,1,refl,-0.2620456577,0.436560559,0.2592530484
11.752,1,0,0.246303707,1,trans,0.7345111261,0.4262151872,0.7211659801
11.752,1,0,0.246303707,1,refl,-0.2636965824,0.4374078208,0.2608614893
11.776,1,0,0.2468067098,1,trans,0.732853149,0.4270201943,0.7194199843
11.776,1,0,0.2468067098,1,refl,-0.2653571524,0.4382516552,0.2624789316
11.8,1,0,0.2473097126,1,trans,0.7311855073,0.4278219147,0.7176638367
11.8,1,0,0.2473097126,1,refl,-0.2670273998,0.4390919602,0.2641053818
11.824,1,0,0.2478127154,1,trans,0.729508152,0.4286202957,0.7158975017
11.824,1,0,0.2478127154,1,refl,-0.268707356,0.4399286342,0.2657408464
11.848,1,0,0.2483157182,1,trans,0.7278210349,0.4294152828,0.7141209439
11.848,1,0,0.2483157182,1,refl,-0.2703970518,0.4407615763,0.2673853328
11.872,1,0,0.248818721,1,trans,0.7261241085,0.4302068193,0.7123341283
11.872,1,0,0.248818721,1,refl,-0.2720965173,0.4415906864,0.269038849
11.896,1,0,0.2493217238,1,trans,0.7244173262,0.4309948465,0.7105370201
11.896,1,0,0.2493217238,1,refl,-0.2738057824,0.4424158648,0.2707014039
11.92,1,0,0.2498247266,1,trans,0.7227006417,0.4317793039,0.7087295848
11.92,1,0,0.2498247266,1,refl,-0.2755248764,0.443237013,0.2723730072
11.944,1,0,0.2503277294,1,trans,0.7209740098,0.4325601286,0.7069117877
11.944,1,0,0.2503277294,1,refl,-0.2772538286,0.4440540332,0.2740536698
11.968,1,0,0.2508307322,1,trans,0.7192373856,0.4333372562,0.7050835944
11.968,1,0,0.2508307322,1,refl,-0.2789926679,0.4448668285,0.2757434039
11.992,1,0,0.251333735,1,trans,0.7174907247,0.4341106198,0.7032449702
11.992,1,0,0.251333735,1,refl,-0.2807414235,0.4456753031,0.2774422227
12.016,1,0,0.2518367378,1,trans,0.7157339833,0.4348801509,0.7013958805
12.016,1,0,0.2518367378,1,refl,-0.2825001245,0.446479362,0.2791501411
12.04,1,0,0.2523397406,1,trans,0.7139671181,0.4356457787,0.6995362902
12.04,1,0,0.2523397406,1,refl,-0.2842688001,0.4472789115,0.2808671753
12.064,1,0,0.2528427434,1,trans,0.712190086,0.4364074306,0.6976661641
12.064,1,0,0.2528427434,1,refl,-0.2860474798,0.4480738585,0.2825933434
12.088,1,0,0.2533457463,1,trans,0.7104028444,0.437165032,0.6957854666
12.088,1,0,0.2533457463,1,refl,-0.2878361937,0.4488641113,0.2843286648
12.112,1,0,0.2538487491,1,trans,0.7086053509,0.4379185065,0.6938941616
