lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-3.741687172e-15,2.473207374e-15,0.9547839272,0.1888982592,0.9472948999
29.9792458,10,refl,0,0,0.2095845022,-4.485127258e-15,9.07782843e-16,-0.04342874399,0.1962287312,0.04039177074
27.25385982,11,trans,0,0,0.2305429524,2.053227014e-16,2.791576766e-16,0.9377509092,0.2143734498,0.9253327437
27.25385982,11,refl,0,0,0.2305429524,5.717434694e-15,1.498663479e-15,-0.05705498952,0.2239713274,0.05341842733
24.98270483,12,trans,0,0,0.2515014026,-3.667805613e-15,-1.308156462e-15,0.9218784231,0.2418067593,0.9083303359
24.98270483,12,refl,0,0,0.2515014026,2.73032228e-15,-2.067767335e-15,-0.0745610258,0.2494624428,0.06779085695
23.06095831,13,trans,0,0,0.2724598529,-2.057868588e-15,-6.969036115e-15,0.9016338055,0.2726929435,0.8873049607
23.06095831,13,refl,0,0,0.2724598529,-2.338044154e-15,-1.913406574e-15,-0.09454620782,0.2781801725,0.08632319376
21.413747,14,trans,0,0,0.2934183031,-3.244013973e-15,2.256926814e-15,0.8783105529,0.3020558383,0.8626671568
21.413747,14,refl,0,0,0.2934183031,1.822725441e-15,7.254433861e-15,-0.1198164132,0.3107483945,0.1109205375
19.98616387,15,trans,0,0,0.3143767533,-2.662305274e-15,-5.404524552e-15,0.8334541584,0.3344884163,0.8065283348
19.98616387,15,refl,0,0,0.3143767533,-7.378196337e-15,-1.441002411e-15,-0.1622988104,0.3520438896,0.1502758041
18.73702863,16,trans,0,0,0.3353352035,-5.748420155e-15,2.137324819e-16,0.7110732259,0.3950606323,0.6616980358
18.73702863,16,refl,0,0,0.3353352035,-3.293958919e-15,1.260450133e-15,-0.2781053421,0.4088276144,0.2444825996
17.63485047,17,trans,0,0,0.3562936537,-8.696913779e-15,2.286039236e-15,0.9102660721,0.1055047119,0.8397155662
17.63485047,17,refl,0,0,0.3562936537,-1.345127678e-14,-4.658591164e-16,-0.0841445553,0.1048385419,0.01807142605
16.65513656,18,trans,0,0,0.377252104,-1.997507609e-15,1.032403567e-15,0.8142776418,0.3567891356,0.7903465652
16.65513656,18,refl,0,0,0.377252104,-4.845084114e-15,1.843746067e-15,-0.1850333696,0.3557883124,0.1608226711
15.77855042,19,trans,0,0,0.3982105542,-1.470980421e-15,-2.999152315e-16,0.6880840612,0.381532186,0.6190264842
15.77855042,19,trans,-1,0,0.06602330411,7.711331941e-16,2.125190907e-16,0.02939290797,0.09973516393,0.01081104596
15.77855042,19,trans,0,-1,0.06602330411,-0.04532149715,0.08929101226,1.235309872e-12,-2.241451066e-13,0.01002692297
15.77855042,19,trans,0,1,0.06602330411,-0.04532149715,0.08929101226,-1.234612042e-12,2.2691937e-13,0.01002692297
